year,quarter,uk_epu_migrant_index,uk_fear_index,germany_epu_migrant_index,germany_fear_index,usa_epu_migrant_index,usa_fear_index,france_epu_migrant_index,france_fear_index,date
1995,2,23.70938569675332,72.00998860244312,29.263741951893586,87.69281972420718,84.31641731461855,99.0337898266106,73.09389976623577,70.9769171925093,1995-04-01
1995,3,26.673058908847487,71.28988871641867,29.59153815803946,103.0548529790506,83.63934976938123,102.58607520600516,97.80595400062118,76.00755396785244,1995-07-01
1995,4,24.56402634396187,75.10306881055271,170.99964890003315,103.10030835910618,77.88362907086119,87.89882855060503,109.35578881877154,79.5667177427415,1995-10-01
1996,1,25.533919406696864,63.0751795411988,27.48601505365807,99.43236652790455,135.46999079995564,103.16924920237757,85.40180728701084,76.00080509537361,1996-01-01
1996,2,23.325428033648002,52.42443785624016,25.295623738185085,88.77689319215332,93.43429936763698,102.26369395620574,76.3959230382202,55.773180363376675,1996-04-01
1996,3,22.473470910433203,56.8802303588447,79.50930276929535,85.14415686692051,131.91887336610063,114.27353991285266,79.33300432643492,81.80305648970936,1996-07-01
1996,4,24.225989284182578,65.24005871066755,72.83834733386381,97.66440184435187,101.83012526708579,109.17053507208789,126.37154537448414,61.44928442533503,1996-10-01
1997,1,22.295580639374364,52.3670317114801,25.765166541568096,83.46903596314557,72.59750228457727,95.68115101925368,114.61973604150167,67.56897767199557,1997-01-01
1997,2,41.91480685676033,66.62209838379603,47.996824528864,77.74544492567273,102.28005566649769,101.54897855090081,93.55062130474036,56.617465633635945,1997-04-01
1997,3,21.209902264866674,42.51625893328585,74.03457753717721,73.28536082812114,105.65275101466662,98.2126586621676,58.259894287063105,45.53399697712636,1997-07-01
1997,4,20.853961160717873,40.11375771802433,68.17919954408842,80.98708585812237,32.679279704877246,78.84186584027869,54.25669636183803,75.71502099605875,1997-10-01
1998,1,54.56909953066118,67.95213157599869,24.272253068279255,100.2565417253391,48.35888204616379,76.01085736978776,55.35352099474288,51.25128100073692,1998-01-01
1998,2,121.07209469370832,63.002583857513194,22.613442455439515,88.52091206977872,66.99261031029626,80.73764619961321,69.10824521484265,50.636913274798715,1998-04-01
1998,3,106.02289915085173,63.865722137419,23.662115530879575,88.79317148808458,61.92845055301588,79.97940888030267,38.88396572598391,49.72977035349731,1998-07-01
1998,4,38.79321850688939,61.52953055916161,45.40869523281076,94.39325141984142,60.98578121447725,80.4179512568574,45.017552578800014,37.69738161078849,1998-10-01
1999,1,78.41037793680374,70.65041863513933,23.19302799557468,95.17266657921844,56.97804740472973,91.17403001867517,27.950821328702375,63.674472156472184,1999-01-01
1999,2,62.426308084536664,153.95582350460631,155.1033747204057,202.1860114840234,99.23205566287643,196.88760486597388,34.13726087983539,130.24958664910562,1999-04-01
1999,3,61.09629612206847,89.5642369374692,132.98172966556027,95.1369115891034,51.14928908664941,102.07904306389885,6.614143672436515,41.590131361941886,1999-07-01
1999,4,43.79385883556819,80.24961818712691,111.37069154901297,86.19048220596028,68.11758611073037,99.74095046789797,88.86302140917874,74.30919404053442,1999-10-01
2000,1,12.235773330904841,83.98704526452104,19.819598705802083,68.48824286772718,56.82276815031712,109.92619932064005,27.743928949009273,78.17232057069369,2000-01-01
2000,2,83.38056870067689,105.156103119341,38.941788802840804,89.36058851938876,59.646230109022866,107.37391525065516,61.00982762746291,54.907988850932156,2000-04-01
2000,3,87.93385842853347,94.87419481507135,57.591126478462876,73.59255152144448,51.04630170244068,83.38344147887595,59.64462220924837,55.09193689596136,2000-07-01
2000,4,46.07847893659665,88.40127616530187,61.206712894151124,104.65081143847172,127.93867678088165,90.01641176303337,92.67555313339393,74.83809447840943,2000-10-01
2001,1,60.46096924959132,101.36467290874872,16.793721286245095,89.31499225767296,68.61097292961887,84.16842417719027,74.1717265293335,82.46374491421699,2001-01-01
2001,2,31.304118531697515,71.62441770767873,18.30864785432019,73.15250197427343,39.21470983460501,74.8314056183727,28.93415824712547,81.14048916589913,2001-04-01
2001,3,145.06858134255287,163.42303903861577,36.429974133618416,108.67567302186696,128.14812819415212,131.03099195397093,64.20964908694266,77.32917840016698,2001-07-01
2001,4,25.93888794328113,177.7833999587185,104.04817175526632,154.49283424549708,117.85256280169658,181.90638147057138,36.73878711335598,122.84944675502076,2001-10-01
2002,1,127.08078597838704,105.24085837783723,54.83400190985886,87.33999284523286,80.15616830558832,111.85753492693493,128.47854758390284,92.78737984077432,2002-01-01
2002,2,180.41902059429196,172.91417304912332,71.90042304861652,101.42124513288586,63.37050574949623,135.50252396104545,39.80923711006131,170.59432611470692,2002-04-01
2002,3,221.63461888742745,115.68159132689505,135.90581969692857,83.77579707927342,80.86300570046053,105.00305969855843,71.4582192989078,73.68308813706162,2002-07-01
2002,4,183.44805471079204,104.99506574367183,143.9482909372331,73.18884669059365,71.99094289202165,99.88734527296145,40.26257075641913,88.68222724461423,2002-10-01
2003,1,246.47097112795015,142.77264828496158,24.161257369043874,106.97309891491554,125.76367859474342,102.76441926395934,102.8047295273316,71.8051821257501,2003-01-01
2003,2,295.71071893551954,132.61286825257594,72.38766810757885,115.95100884889204,61.529768965545095,94.02007460693605,19.561748671182873,72.7955962759278,2003-04-01
2003,3,42.62307723744203,112.62543831516938,182.0638195967747,93.38743523446446,68.12386940891663,95.29757142783478,18.019996726732774,58.25584436902178,2003-07-01
2003,4,97.00036422655793,119.41479178273298,195.84196537036476,72.25693877483185,67.8621988252352,88.2901276097076,60.09051122004057,71.51450008929959,2003-10-01
2004,1,91.03014646282911,86.44487798678632,86.8102099932415,103.11804739710931,90.99108857725226,93.8809869823623,38.54744045219491,103.39175307562283,2004-01-01
2004,2,8.61368507882047,66.62443422549708,124.28670573270398,129.18039377944908,44.1235176128744,83.96829026608162,71.37988990630876,54.73155574061974,2004-04-01
2004,3,91.47028645077813,82.23263197252192,126.38052754996019,102.3558375034175,55.476990665777116,91.82057420250908,63.0087410808705,63.23574739282441,2004-07-01
2004,4,29.000238545189884,87.88359984839778,120.71428353132177,128.72620153482248,53.91502943717502,95.93020458206496,86.81565859233955,113.34407144094303,2004-10-01
2005,1,38.61397591312817,58.4435919378165,20.230874963531175,128.34936540695335,81.04120883440532,92.33630851333396,121.10048647711093,102.79154068036188,2005-01-01
2005,2,124.85829257808308,111.43197881657079,74.99503832635,127.0449653407803,49.65765420009596,91.53852332570709,248.24942287598856,110.79182686653886,2005-04-01
2005,3,31.34540662802158,82.08533225545594,111.59834002140478,147.1246024055482,82.84703277218328,106.06788767351021,159.58891470599264,133.94235785357682,2005-07-01
2005,4,10.53706674992462,50.564912339220555,110.80561305992677,155.55225168633018,52.24085718837201,90.10201444405874,88.94102118858355,220.38890381958694,2005-10-01
2006,1,43.463480817777366,78.5441620045789,74.9007265141184,124.8631220414389,120.75397667450416,97.36802998101773,86.91246267186472,169.0478223718258,2006-01-01
2006,2,148.60608517609958,137.9827408101389,334.8030242485444,142.2388253753785,201.407305692456,169.2204311315369,138.1997814729119,145.08023247772894,2006-04-01
2006,3,154.21093795844317,155.23068147028647,167.05603732351946,159.85327804477515,73.20277678933904,119.97615954916063,212.48858593753295,187.64207029293593,2006-07-01
2006,4,218.06516289865505,146.14887121631745,160.94578811472164,114.41860538213666,83.50699140625711,116.3717397174018,139.32828669639576,181.9030752875488,2006-10-01
2007,1,169.46747829776706,140.68616955000533,36.57640993853247,85.90758813596345,108.3662038406293,104.07368451220135,281.88211866014643,177.74986752720937,2007-01-01
2007,2,204.7978683258989,158.95829614540384,109.77825985572949,120.52194056702672,133.91648868045715,129.77679401157783,269.30237746617837,213.46752865963103,2007-04-01
2007,3,112.73988317969399,138.83283576018655,113.06200900005643,109.3742543409735,63.25703485408528,114.60991379018117,156.00281009060143,155.45642936309218,2007-07-01
2007,4,245.91827182184622,164.31829483286413,109.54575657434961,110.40875803735042,86.1372389502438,112.05517298058507,156.25869222853024,183.18990035904216,2007-10-01
