Date,year,month,EPU,MA_12m,decade
1976-06-01,1976,6,0.0,9.828589582968911,1970
1976-07-01,1976,7,0.0,5.3095463832928536,1970
1976-08-01,1976,8,0.0,5.3095463832928536,1970
1976-09-01,1976,9,63.7145565995143,5.3095463832928536,1970
1976-10-01,1976,10,0.0,5.3095463832928536,1970
1976-11-01,1976,11,0.0,5.3095463832928536,1970
1976-12-01,1976,12,0.0,5.3095463832928536,1970
1977-01-01,1977,1,0.0,5.3095463832928536,1970
1977-02-01,1977,2,0.0,5.3095463832928536,1970
1977-03-01,1977,3,0.0,5.3095463832928536,1970
1977-04-01,1977,4,0.0,0.0,1970
1977-05-01,1977,5,0.0,0.0,1970
1977-06-01,1977,6,0.0,13.363289938982994,1970
1977-07-01,1977,7,0.0,13.363289938982994,1970
1977-08-01,1977,8,0.0,29.887519676848996,1970
1977-09-01,1977,9,0.0,40.08280211068624,1970
1977-10-01,1977,10,0.0,40.08280211068624,1970
1977-11-01,1977,11,160.359479267796,40.08280211068624,1970
1977-12-01,1977,12,0.0,48.11149164545238,1970
1978-01-01,1978,1,198.290756854392,48.11149164545238,1970
1978-02-01,1978,2,122.343389206047,55.75813017366561,1970
1978-03-01,1978,3,0.0,67.66545060110953,1970
1978-04-01,1978,4,0.0,67.66545060110953,1970
1978-05-01,1978,5,96.3442744171936,67.66545060110953,1970
1978-06-01,1978,6,0.0,60.96905904944605,1970
1978-07-01,1978,7,91.7596623385588,60.96905904944605,1970
1978-08-01,1978,8,142.887845129327,44.44482931158006,1970
1978-09-01,1978,9,0.0,39.63075012530668,1970
1978-10-01,1978,10,0.0,41.8941393663214,1970
1978-11-01,1978,11,80.0027806478343,46.37395956534221,1970
1978-12-01,1978,12,0.0,42.75406595315905,1970
1979-01-01,1979,1,0.0,50.012790084740885,1970
1979-02-01,1979,2,64.5744389707666,42.366151556527655,1970
1979-03-01,1979,3,27.1606708921765,34.9262932034176,1970
1979-04-01,1979,4,53.7578423882499,34.9262932034176,1970
1979-05-01,1979,5,52.9055510709955,57.4043546063736,1970
1979-06-01,1979,6,87.1046895789821,73.2376515434495,1970
1979-07-01,1979,7,0.0,85.20571611646723,1970
1979-08-01,1979,8,53.6095448920064,93.78923023136265,1970
1979-09-01,1979,9,0.0,89.88968755282532,1970
1979-10-01,1979,10,269.736736835472,87.62629831181061,1970
1979-11-01,1979,11,270.002343892745,83.14647811278981,1970
1979-12-01,1979,12,143.616774876213,87.85885296245785,1970
1980-01-01,1980,1,103.002169378745,83.33916477497075,1980
1980-02-01,1980,2,17.7799268283187,90.02232821770708,1980
1980-03-01,1980,3,0.0,96.14637936063612,1980
1980-04-01,1980,4,0.0,98.84322366029646,1980
1980-05-01,1980,5,109.454049267012,76.36516225734046,1980
1980-06-01,1980,6,32.8684313291371,73.57263203685405,1980
1980-07-01,1980,7,80.1979613128359,68.95875723101733,1980
1980-08-01,1980,8,127.098158607155,60.37524311612191,1980
1980-09-01,1980,9,32.3621315959239,58.89358254709535,1980
1980-10-01,1980,10,0.0,65.41777384575848,1980
1980-11-01,1980,11,236.491981246908,74.72813275503965,1980
1980-12-01,1980,12,88.2502772061724,70.95390379689027,1980
1981-01-01,1981,1,0.0,68.2148678527955,1980
1981-02-01,1981,2,0.0,62.90296182068241,1980
1981-03-01,1981,3,78.2902955839576,55.724777705216695,1980
1981-04-01,1981,4,111.724306911374,63.186896377808615,1980
1981-05-01,1981,5,64.1633017692194,66.7703816556131,1980
1981-06-01,1981,6,0.0,50.611384528686756,1980
1981-07-01,1981,7,16.4550889274787,50.80212189597241,1980
1981-08-01,1981,8,40.9599492215664,56.00159276860503,1980
1981-09-01,1981,9,121.907555667027,59.802982219993304,1980
1981-10-01,1981,10,43.0018233336538,55.69950093918671,1980
1981-11-01,1981,11,42.5840157237919,55.416923425807454,1980
1981-12-01,1981,12,90.5391256136002,60.373066932558594,1980
1982-01-01,1982,1,62.3936504715915,64.36351046918125,1980
1982-02-01,1982,2,45.6166734166592,65.25557360686516,1980
1982-03-01,1982,3,29.0485202142785,70.38118568787878,1980
1982-04-01,1982,4,108.333376750823,71.21680726553213,1980
1982-05-01,1982,5,123.637023850233,73.54148028822618,1980
1982-06-01,1982,6,47.8853224394719,76.29732108526106,1980
1982-07-01,1982,7,27.1598465796856,73.01700488666908,1980
1982-08-01,1982,8,102.46729419373,70.28245791349768,1980
1982-09-01,1982,9,131.935014598867,68.88419345163084,1980
1982-10-01,1982,10,70.8978996059825,76.0184858641458,1980
1982-11-01,1982,11,75.6541052882105,70.46468731117423,1980
1982-12-01,1982,12,51.1753312304963,63.62567686079425,1980
1983-01-01,1983,1,29.5790867935347,64.04791725317985,1980
1983-02-01,1983,2,28.8374998742572,70.90481490119447,1980
1983-03-01,1983,3,114.660029164458,65.4815483605921,1980
1983-04-01,1983,4,41.6877941151641,58.66843619622998,1980
1983-05-01,1983,5,41.5688984456734,53.89039304014597,1980
1983-06-01,1983,6,52.952207148099,55.294250658847155,1980
1983-07-01,1983,7,109.442618355861,55.5705604444972,1980
1983-08-01,1983,8,37.3880957065017,58.32547539095387,1980
1983-09-01,1983,9,50.1776686265216,59.629621088548355,1980
1983-10-01,1983,10,13.5613817329744,51.32323469668574,1980
1983-11-01,1983,11,92.5003967126246,56.497533615594556,1980
1983-12-01,1983,12,54.4910486582967,55.426595683980196,1980
1984-01-01,1984,1,62.6380661510148,53.28616411286197,1980
1984-02-01,1984,2,44.487248245391,47.30264512320176,1980
1984-03-01,1984,3,14.9833924621066,45.97402432174232,1980
1984-04-01,1984,4,103.77938114207,46.76783612036483,1980
1984-05-01,1984,5,28.717643266301,50.379048602066014,1980
1984-06-01,1984,6,27.2670282946804,43.74530397573485,1980
1984-07-01,1984,7,37.6403904799386,41.98670474706217,1980
1984-08-01,1984,8,21.4446460889882,46.471681804191604,1980
1984-09-01,1984,9,59.7034102099918,44.76785143541019,1980
1984-10-01,1984,10,56.8959315133886,50.91428964567903,1980
1984-11-01,1984,11,12.8954611966505,53.8451721132222,1980
1984-12-01,1984,12,33.3878579142247,54.39162148318973,1980
1985-01-01,1985,1,116.457790836568,58.35677461898407,1980
1985-02-01,1985,2,24.041283820014,58.158941032046336,1980
1985-03-01,1985,3,88.7406509853327,60.56386668599424,1980
1985-04-01,1985,4,138.949970752588,56.75282046153065,1980
1985-05-01,1985,5,35.2750357059114,56.23494821108314,1980
1985-06-01,1985,6,74.8488659242124,57.27875450757026,1980
1985-07-01,1985,7,35.2663874366858,59.603295693973045,1980
1985-08-01,1985,8,50.3037539363631,58.13185436216108,1980
1985-09-01,1985,9,13.9708555164287,63.821070449921415,1980
1985-10-01,1985,10,50.6814645080185,64.72115164540914,1980
1985-11-01,1985,11,25.421136754496,68.28465294050123,1980
1985-12-01,1985,12,61.282352151058,69.55159086815557,1980
1986-01-01,1986,1,98.8004948548244,72.69975700065955,1980
1986-02-01,1986,2,92.311876873138,78.94774761674456,1980
1986-03-01,1986,3,99.5416253311855,87.3791085472028,1980
1986-04-01,1986,4,181.711986293693,98.11996612910609,1980
1986-05-01,1986,5,50.4782908377636,96.125629820122,1980
1986-06-01,1986,6,112.62685951426,100.0619665001892,1980
1986-07-01,1986,7,110.242274829706,112.2006688837098,1980
1986-08-01,1986,8,151.480085101862,113.19455885695835,1980
1986-09-01,1986,9,142.861146499268,115.47619650186493,1980
1986-10-01,1986,10,26.7494288002096,113.57183375144808,1980
1986-11-01,1986,11,72.6571769153025,103.65147009937505,1980
1986-12-01,1986,12,206.946780753305,105.31396986891194,1980
1987-01-01,1987,1,110.727174533807,105.07973666422119,1980
1987-02-01,1987,2,119.691528612017,100.14567158831613,1980
1987-03-01,1987,3,76.6892723261835,98.97522640554963,1980
1987-04-01,1987,4,62.6676224688164,100.03802225975454,1980
1987-05-01,1987,5,70.4282880722064,107.159311293462,1980
1987-06-01,1987,6,109.816061057971,111.06518200048355,1980
1987-07-01,1987,7,51.0334939188453,104.00531398186996,1980
1987-08-01,1987,8,137.434742908664,107.58076770047171,1980
1987-09-01,1987,9,155.614696749727,120.27140973219929,1980
1987-10-01,1987,10,112.204897204699,118.70523796015361,1980
1987-11-01,1987,11,119.527625399561,120.26136601725807,1980
1987-12-01,1987,12,122.228364529942,125.92135830858979,1980
1988-01-01,1988,1,153.632619157028,128.22604429954177,1980
1988-02-01,1988,2,271.979232992748,140.19665672286382,1980
1988-03-01,1988,3,57.8952110616354,147.27894201486393,1980
1988-04-01,1988,4,81.3411591540697,146.37190051042808,1980
1988-05-01,1988,5,138.348195568187,153.57951715795375,1980
1988-06-01,1988,6,137.472292949395,153.7095003928262,1980
1988-07-01,1988,7,194.68084299871,148.83310630822288,1980
1988-08-01,1988,8,222.422166412665,144.31763821654252,1980
1988-09-01,1988,9,144.730198696497,132.59092606590093,1980
1988-10-01,1988,10,198.696296975007,136.70156914028547,1980
1988-11-01,1988,11,121.08742421803,138.38136089802785,1980
1988-12-01,1988,12,63.7116355147025,134.78987076612643,1980
1989-01-01,1989,1,99.4470020568635,127.00399933259136,1980
1989-02-01,1989,2,131.258687185049,123.59025173920936,1980
1989-03-01,1989,3,107.22292795425,109.77135806887895,1980
1989-04-01,1989,4,101.498660246978,107.35692957003893,1980
1989-05-01,1989,5,95.2503139853704,99.63846683223277,1980
1989-06-01,1989,6,44.0418357469741,94.24316538286361,1980
1989-07-01,1989,7,153.715871878126,95.71582958271968,1980
1989-08-01,1989,8,56.5954423686999,94.84804733440156,1980
1989-09-01,1989,9,115.757056710417,105.85296742611881,1980
1989-10-01,1989,10,106.074744121333,102.94807880944465,1980
1989-11-01,1989,11,56.3438068255999,100.73293731474092,1980
1989-12-01,1989,12,81.3836059129754,103.00894619662132,1980
1990-01-01,1990,1,89.033615077046,103.92920708568914,1990
1990-02-01,1990,2,263.317728285656,93.17730840454419,1990
1990-03-01,1990,3,72.3642645541603,97.1182716420257,1990
1990-04-01,1990,4,74.9169623105333,88.6772503253719,1990
1990-05-01,1990,5,122.562420567935,93.4519616041863,1990
1990-06-01,1990,6,55.084966415788,95.36912274025046,1990
1990-07-01,1990,7,24.6930877043867,96.58666478948207,1990
1990-08-01,1990,8,103.887001218478,96.70707240043788,1990
1990-09-01,1990,9,14.4648009105711,83.33855080230613,1990
1990-10-01,1990,10,163.371279467106,77.30819542279276,1990
1990-11-01,1990,11,79.3497404583697,80.86480256517717,1990
1990-12-01,1990,12,95.9941105037549,76.315014779608,1990
1991-01-01,1991,1,90.4785064085157,81.08561248356801,1990
1991-02-01,1991,2,102.895469108075,85.55437751042255,1990
1991-03-01,1991,3,0.0,85.31102824069914,1990
1991-04-01,1991,4,117.596248019146,86.21474445598794,1990
1991-05-01,1991,5,67.9649671411052,72.60047116706245,1990
1991-06-01,1991,6,112.332138863308,73.32260496360882,1990
1991-07-01,1991,7,78.3182680266412,70.56744485452873,1990
1991-08-01,1991,8,100.966809981797,76.11740433264292,1990
1991-09-01,1991,9,25.3093954940367,77.52567761409325,1990
1991-10-01,1991,10,0.0,84.33858463422833,1990
1991-11-01,1991,11,88.0153460169263,83.70259351092157,1990
1991-12-01,1991,12,62.9321891947938,88.48033921075056,1990
1992-01-01,1992,1,157.078020145886,85.29892384851193,1990
1992-02-01,1992,2,119.794748485479,83.52425679041897,1990
1992-03-01,1992,3,81.7548842416208,79.71762481193407,1990
1992-04-01,1992,4,109.964354539465,87.86870481263303,1990
1992-05-01,1992,5,125.297915539053,95.10150712853716,1990
1992-06-01,1992,6,74.1551545164444,90.50279961570929,1990
1992-07-01,1992,7,57.0222633295258,96.90318566378573,1990
